UID,NETID,ORCID,FullName,FirstName,LastName,MidName,Email,date_hired,date_terminated,Title
2dec06e9,Sadav,,"""Sadav, Manjit S.""",Manjit,Sadav,S,Sadav@school.edu,2000-10-01T00:00:00,2014-01-01T00:00:00,Professor
c81ef444,mindyGergman,,"""Gergman, Mindy E.""",Mindy,Gergman,E,mindyGergman@school.edu,2000-10-02T00:00:00,2014-01-02T00:00:00,Associate Professor
5c2cef0e,t_Vay,,"""Vay, Matilda W.""",Matilda,Vay,W,t_Vay@school.edu,2000-10-03T00:00:00,2014-01-03T00:00:00,Lecturer
b6f25071,sBach,,"""Bach, Susan A.""",Susan,Bach,A,sBach@school.edu,2000-10-04T00:00:00,2014-01-04T00:00:00,Clinical Associate Professor
613870d1,kRoberts,,"""Roberts, Kathryn J.""",Kathryn,Roberts,J,kRoberts@school.edu,2000-10-05T00:00:00,2014-01-05T00:00:00,Assistant Professor
980e771d,jasenMaldonado,,"""Maldonado, Jasen J.""",Jasen,Maldonado,J,jasenMaldonado@school.edu,2000-10-06T00:00:00,2014-01-06T00:00:00,Assistant Professor
ea52a51f,Sahrana20,,"""Sahrana, Krishan C.""",Krishan,Sahrana,C,Sahrana20@school.edu,2000-10-07T00:00:00,2014-01-07T00:00:00,Visiting Associate Professor
0bcb050f,g-Gurry,,"""Gurry, Guy L.""",Guy,Gurry,L,g-Gurry@school.edu,2000-10-08T00:00:00,2014-01-08T00:00:00,Professor
3c8aa927,mohamed-t-Rahman,,"""Rahman, Mohamed T.""",Mohamed,Rahman,T,mohamed-t-Rahman@school.edu,2000-10-09T00:00:00,2014-01-09T00:00:00,Clinical Assistant Professor
e4fec57c,rDahl,,"""Dahl, Ronald A.""",Ronald,Dahl,A,rDahl@school.edu,2000-10-10T00:00:00,2014-01-10T00:00:00,Professor
f9f641f8,yeran.Sulik,,"""Sulik, Yeran M.""",Yeran,Sulik,M,yeran.Sulik@school.edu,2000-10-11T00:00:00,2014-01-11T00:00:00,Lecturer
de1f2aed,trobert,,"""Roberts, Tatyana""",Tatyana,Roberts,,trobert@school.edu,2000-10-12T00:00:00,2014-01-12T00:00:00,Clinical Associate Professor
6edf97c6,jmWarren,,"""Warren, Jonathan""",Jonathan,Warren,,jmWarren@school.edu,2000-10-13T00:00:00,2014-01-13T00:00:00,Professor
d6f8c320,mJackson,,"""Jackson, Michael A.""",Michael,Jackson,A,mJackson@school.edu,2000-10-14T00:00:00,2014-01-14T00:00:00,Lecturer
c7f9a04d,apederss,,"""Pederssen, Adam P.""",Adam,Pederssen,P,apederss@school.edu,2000-10-15T00:00:00,2014-01-15T00:00:00,Clinical Assistant Professor
0a2d481f,hagenwong,,"""wong, Hwagyun""",Hwagyun,wong,,hagenwong@school.edu,2000-10-16T00:00:00,2014-01-16T00:00:00,Assistant Professor
fed03dd1,johannaha,,"""Hahn, Johanna E.""",Johanna,Hahn,E,johannaha@school.edu,2000-10-17T00:00:00,2014-01-17T00:00:00,Instructional Assistant Professor
d2caf464,j-Preston,,"""Preston, John W.""",John,Preston,W,j-Preston@school.edu,2000-10-18T00:00:00,2014-01-18T00:00:00,Professor
786fc0f3,carmenj,,"""Juarez, Carmen L.""",Carmen,Juarez,L,carmenj@school.edu,2000-10-19T00:00:00,2014-01-19T00:00:00,Assistant Professor
9ed54600,m-Posnik,,"""Posnik, Michael P.""",Michael,Posnik,P,m-Posnik@school.edu,2000-10-20T00:00:00,2014-01-20T00:00:00,Professor
5e728236,gupta,,"""Gupta, Akhil""",Akhil,Gupta,,gupta@school.edu,2000-10-21T00:00:00,2014-01-21T00:00:00,Professor
f53479a0,llMonroe,,"""Monroe, Lori L.""",Lori,Monroe,L,llMonroe@school.edu,2000-10-22T00:00:00,2014-01-22T00:00:00,Associate Professor
6df86023,tanya.Pane,,"""Pane, Tanya""",Tanya,Pane,,tanya.Pane@school.edu,2000-10-23T00:00:00,2014-01-23T00:00:00,Lecturer
9c75f491,p-Strauss,,"""Strauss, Peter F.""",Peter,Strauss,F,p-Strauss@school.edu,2000-10-24T00:00:00,2014-01-24T00:00:00,Professor
7f4e9eb4,bobStagner,,"""Stagner, Robert O.""",Robert,Stagner,O,bobStagner@school.edu,2000-10-25T00:00:00,2014-01-25T00:00:00,Professor
ec810b24,lijenWuo,,"""Wuo, Li-Jen""",Li-Jen,Wuo,,lijenWuo@school.edu,2000-10-26T00:00:00,2014-01-26T00:00:00,Associate Professor
b2c12cd3,shaganBirkke,,"""Birkke, Shanna H.""",Shanna,Birkke,H,shaganBirkke@school.edu,2000-10-27T00:00:00,2014-01-27T00:00:00,Associate Professor
bd6831b8,yTimoshenko,,"""Timoshenko, Yaroslav""",Yaroslav,Timoshenko,,yTimoshenko@school.edu,2000-10-28T00:00:00,2014-01-28T00:00:00,Associate Professor
e3bd8752,Wang,,"""Wang, Lei""",Lei,Wang,,Wang@school.edu,2000-10-29T00:00:00,2014-01-29T00:00:00,Assistant Professor
4ff5edcb,jwoodey,,"""Woodey, Joanna R.""",Joanna,Woodey,R,jwoodey@school.edu,2000-10-30T00:00:00,2014-01-30T00:00:00,Senior Lecturer
8bf8898a,robin-m-Reiner,,"""Reiner, Robin M.""",Robin,Reiner,M,robin-m-Reiner@school.edu,2000-10-31T00:00:00,2014-01-31T00:00:00,Associate Professor
ce238e6e,Muchkin,,"""Muchkin, Robert S.""",Robert,Muchkin,S,Muchkin@school.edu,2000-11-01T00:00:00,2014-02-01T00:00:00,Instructional Assistant Professor
4.33E+12,r-Wurst,,"""Wurst, Ralph A.""",Ralph,Wurst,A,r-Wurst@school.edu,2000-11-02T00:00:00,2014-02-02T00:00:00,Professor
f2751f8b,nessoli,,"""Nesson, Liesl S.""",Liesl,Nesson,S,nessoli@school.edu,2000-11-03T00:00:00,2014-02-03T00:00:00,Senior Lecturer
40f09614,m-Burbanks,,"""Burbanks, Micky D.""",Micky,Burbanks,D,m-Burbanks@school.edu,2000-11-04T00:00:00,2014-02-04T00:00:00,Professor
8da37bea,aYuang,,"""Yuang, Anxiao""",Anxiao,Yuang,,aYuang@school.edu,2000-11-05T00:00:00,2014-02-05T00:00:00,Associate Professor
262ead89,joseph.Ditross,,"""Ditross, Joseph J.""",Joseph,Ditross,J,Ditross@school.edu,2000-11-06T00:00:00,2014-02-06T00:00:00,Professor
543231b1,andreas-Necker,,"""Necker, Andreas""",Andreas,Necker,,andreas-Necker@school.edu,2000-11-07T00:00:00,2014-02-07T00:00:00,Professor
bf813378,jamesdAbbott,,"""Abbott, James D.""",James,Abbott,D,jamesdAbbott@school.edu,2000-11-08T00:00:00,2014-02-08T00:00:00,Assistant Professor
84ce7aef,cGarsson,,"""Garsson, Charles W.""",Charles,Garsson,W,cGarsson@school.edu,2000-11-09T00:00:00,2014-02-09T00:00:00,Professor
42be1339,zmc,,"""Zetinos, Zenon""",Zenon,Zetinos,,zetinos@school.edu,2000-11-10T00:00:00,2014-02-10T00:00:00,Assistant Professor
ca61ede1,tjBrandon,,"""Brandon, Timothy J.""",Timothy,Brandon,J,tjBrandon@school.edu,2000-11-11T00:00:00,2014-02-11T00:00:00,Associate Professor
e7ee497b,belindaBraggs,,"""Braggs, Belinda L.""",Belinda,Braggs,L,belindaBraggs@school.edu,2000-11-12T00:00:00,2014-02-12T00:00:00,Lecturer
7f8372f3,Groass,,"""Groass, Harold P.""",Harold,Groass,P,Groass@school.edu,2000-11-13T00:00:00,2014-02-13T00:00:00,Professor
8.57E+08,gwMonroe,,"""Monroe, Georgianne W.""",Georgianne,Monroe,W,gwMonroe@school.edu,2000-11-14T00:00:00,2014-02-14T00:00:00,Associate Professor
